Country Name,Country Code,Series Name,Series Code,2024 [YR2024],2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967],1966 [YR1966],1965 [YR1965],1964 [YR1964],1963 [YR1963],1962 [YR1962],1961 [YR1961],1960 [YR1960]
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,79.07075977,82.49368256,84.6980571,75.59032173,59.52071189,75.38212893,75.69407837,76.78738179,74.01445045,71.27944766,75.02120231,75.75061856,76.96835832,80.69899853,75.53253297,73.32135756,75.24854728,79.91190089,72.20190895,69.11629266,65.03793832,64.8232151,65.99146503,64.24744626,61.60926104,49.89541841,47.1306267,44.72937806,44.41178201,40.13869895,53.10258474,80.51833277,108.7854722,36.07052006,39.4369634,40.06608646,36.89787074,32.15956392,31.63730488,35.93482397,38.11568302,40.4106676,44.81056161,46.10046628,47.4940925,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,17.75986874,18.06077868,18.0962082,16.8955446,17.93099399,18.27695273,18.54766318,17.40320252,18.38129215,18.20809547,16.47649627,17.5879266,17.90672307,..,..,..,..,..,..,17.42670417,16.63234264,15.8747643,..,..,..,14.26420107,9.753038318,8.766250584,11.20221985,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,48.88379795,47.95746391,46.20942581,45.24384613,45.7213593,45.45341143,44.39702825,44.56213071,43.4481769,42.87786475,42.65756381,42.62878446,43.50592361,42.23901955,41.31318459,42.00402386,41.07502865,40.5451705,40.19919728,40.3981319,39.55989883,39.09755515,40.86930149,42.19905205,42.11593904,45.45515178,42.96618581,41.41348005,39.46635992,40.43287826,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,22.40703867,23.01847188,23.02505572,22.43411679,23.46872133,22.96552109,23.75358863,22.95333271,23.86701789,24.48140915,23.82866906,25.50680361,25.4077242,26.9409865,27.47491428,27.5678723,28.56164972,28.57725457,28.42842552,28.13721316,27.72997522,27.08468776,26.23832657,24.38664986,21.71218531,18.52321448,16.91721108,20.20955299,19.22414667,19.75201202,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,15.49801109,16.22256713,16.98447804,17.7932056,18.8061418,18.16039737,17.91555582,18.07907821,19.16719075,18.74716028,19.23775892,18.92481742,17.59136855,16.72022295,16.35860819,15.27922173,15.4221004,15.53254945,16.04157503,17.1247179,18.56307999,19.80762033,19.76391647,20.45240541,22.17901395,23.6225673,26.26104283,28.94131451,33.56166119,32.83744976,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2.688874456,6.066052094,9.861583003,3.4443911,0.041044072,1.000632856,1.453287225,2.725069185,-0.864265221,0.771576291,1.443420539,0.352563785,0.226739791,1.694791802,4.127443891,2.570340089,3.498639125,5.149567761,2.684768325,3.143705054,3.095366546,4.937492552,3.903881411,3.765945311,5.919573465,2.785077094,7.855154592,12.755938,16.9344096,33.5170816,35.84247521,125.6508142,232.9846588,35.51424695,-0.431368813,0.00367916,-0.000578579,-0.000306093,-2.417300429,0.351222348,-0.028360258,-0.016755172,-0.0177191,-2.139571986,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Population, total",SP.POP.TOTL,2714617,2745972,2777689,2811666,2837849,2854191,2866376,2873457,2876101,2880703,2889104,2895092,2900401,2905195,2913021,2927519,2947314,2970017,2992547,3011487,3026939,3039616,3051010,3060173,3089027,3108778,3128530,3148281,3168033,3187784,3207536,3227287,3247039,3266790,3286542,3227943,3142336,3083605,3022635,2964762,2904429,2843960,2784278,2726056,2671997,2617832,2566266,2513546,2458526,2404831,2350124,2296752,2243126,2187853,2135479,2081695,2022272,1965598,1914573,1864791,1814135,1762621,1711319,1659800,1608800
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2.6362E+11,2.47626E+11,2.25638E+11,1.86231E+11,1.64873E+11,1.9346E+11,1.94554E+11,1.89881E+11,1.80764E+11,1.87494E+11,2.38943E+11,2.29701E+11,2.27144E+11,2.18332E+11,1.77785E+11,1.50317E+11,1.80384E+11,1.42483E+11,1.23084E+11,1.07047E+11,91913680985,73482264191,61516103406,59413400924,54790398570,48640671735,48187781984,48177612042,46941554225,41764291672,42543176829,49945584453,48003133347,45715676428,62048507531,55634721573,59089396860,66745818375,63692007897,57937868670,53698548293,48801369800,45207167470,44348590461,42345829079,33243706860,26364491313,20972113685,17728240932,15557902754,13209871626,8707858912,6766743957,5077183094,4863526897,4257253264,3852147027,3370870376,3039859187,3136284307,2909316435,2702982018,2001444544,2434747056,2723615451
Algeria,DZA,Trade (% of GDP),NE.TRD.GNFS.ZS,..,43.6829142,51.20237574,46.83705926,40.38975656,46.50684261,52.43616768,49.82081617,49.76093279,53.20462259,56.92354197,59.15100816,60.75763933,62.22008996,63.49121599,64.28475472,71.02849225,67.54547339,65.91529197,66.84046022,61.35799757,57.7691353,56.58960528,54.52964912,62.85834364,50.92910934,45.09445056,52.24391151,53.70514788,55.19100521,48.58443779,44.92281337,49.18908424,52.71758671,48.38071368,47.15331971,38.11158728,32.68458447,36.02671057,50.32612063,53.17638369,53.74411736,59.92293127,65.46499364,64.67692316,64.01404929,65.70456889,72.32688423,70.17325688,76.65453541,74.23881924,57.09342653,46.17643028,46.10629668,51.22540181,51.8595349,47.32288896,45.06618609,50.63976952,48.43702191,54.52382126,61.5101972,40.61251936,113.7483279,106.1868043
